link_team,club_team,link_lega,nome_lega
/it/team/230/royal-antwerp-fc/,Royal Antwerp FC,/it/teams/?league=4,Pro League
/it/team/101026/g%C3%B6ztepe/,Göztepe,/it/teams/?league=68,Süper Lig
/it/team/111710/defensa/,Defensa,/it/teams/?league=353,SAF
/it/team/12/middlesbrough/,Middlesbrough,/it/teams/?league=14,EFL Championship
/it/team/210/sm-caen/,SM Caen,/it/teams/?league=16,Ligue 1 Conforama
/it/team/110781/le%C3%B3n/,León,/it/teams/?league=341,LIGA Bancomer MX
/it/team/697/la-galaxy/,LA Galaxy,/it/teams/?league=39,MLS
/it/team/688/d-c-united/,D.C. United,/it/teams/?league=39,MLS
/it/team/112387/al-ahli/,Al Ahli,/it/teams/?league=350,Saudi Professional League
/it/team/110395/lan%C3%BAs/,Lanús,/it/teams/?league=353,SAF
/it/team/900/bsc-young-boys/,BSC Young Boys,/it/teams/?league=189,RSL
/it/team/113142/alanyaspor/,Alanyaspor,/it/teams/?league=68,Süper Lig
/it/team/436/trabzonspor/,Trabzonspor,/it/teams/?league=68,Süper Lig
/it/team/101088/v%C3%A9lez-sarsfield/,Vélez Sarsfield,/it/teams/?league=353,SAF
/it/team/1880/guadalajara/,Guadalajara,/it/teams/?league=341,LIGA Bancomer MX
/it/team/607/al-ittihad/,Al Ittihad,/it/teams/?league=350,Saudi Professional League
/it/team/111711/hurac%C3%A1n/,Huracán,/it/teams/?league=353,SAF
/it/team/110580/rosario-central/,Rosario Central,/it/teams/?league=353,SAF
/it/team/1053/santos/,Santos,/it/teams/?league=7,Liga do Brasil
/it/team/101037/%C3%A7aykur-rizespor/,Çaykur Rizespor,/it/teams/?league=68,Süper Lig
/it/team/1884/panathinaikos/,Panathinaikos,/it/teams/?league=76,Resto del mondo
/it/team/742/bursaspor/,Bursaspor,/it/teams/?league=68,Süper Lig
/it/team/1960/swansea-city/,Swansea City,/it/teams/?league=14,EFL Championship
/it/team/689/ny-red-bulls/,NY Red Bulls,/it/teams/?league=39,MLS
/it/team/1968/cadice/,Cadice,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/111144/seattle-sounders/,Seattle Sounders,/it/teams/?league=39,MLS
/it/team/1719/vit%C3%B3ria/,Vitória,/it/teams/?league=7,Liga do Brasil
/it/team/111678/tijuana/,Tijuana,/it/teams/?league=341,LIGA Bancomer MX
/it/team/696/sporting-kc/,Sporting KC,/it/teams/?league=39,MLS
/it/team/479/ca-osasuna/,CA Osasuna,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/111839/guangzhou/,Guangzhou,/it/teams/?league=2012,CSL
/it/team/111339/kasimpa%C5%9Fa/,Kasimpaşa,/it/teams/?league=68,Süper Lig
/it/team/91/derby-county/,Derby County,/it/teams/?league=14,EFL Championship
/it/team/110827/real-oviedo/,Real Oviedo,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/101041/sivasspor/,Sivasspor,/it/teams/?league=68,Süper Lig
/it/team/112996/lafc/,LAFC,/it/teams/?league=39,MLS
/it/team/101020/kayserispor/,Kayserispor,/it/teams/?league=68,Süper Lig
/it/team/68/fc-metz/,FC Metz,/it/teams/?league=17,Domino's Ligue 2
/it/team/670/sp-charleroi/,Sp. Charleroi,/it/teams/?league=4,Pro League
/it/team/206/hellas-verona/,Hellas Verona,/it/teams/?league=32,Calcio B
/it/team/112001/am%C3%A9rica/,América,/it/teams/?league=7,Liga do Brasil
/it/team/744/rio-ave/,Rio Ave,/it/teams/?league=308,Liga NOS
/it/team/110832/granada-cf/,Granada CF,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/1843/palermo/,Palermo,/it/teams/?league=32,Calcio B
/it/team/112026/benevento/,Benevento,/it/teams/?league=32,Calcio B
/it/team/1831/union-berlino/,Union Berlino,/it/teams/?league=20,Bundesliga 2
/it/team/101033/konyaspor/,Konyaspor,/it/teams/?league=68,Süper Lig
/it/team/1807/sheffield-wed/,Sheffield Wed.,/it/teams/?league=14,EFL Championship
/it/team/1889/os-belenenses/,Os Belenenses,/it/teams/?league=308,Liga NOS
/it/team/1898/boavista/,Boavista,/it/teams/?league=308,Liga NOS
/it/team/687/columbus-crew/,Columbus Crew,/it/teams/?league=39,MLS
/it/team/1598/bahia/,Bahia,/it/teams/?league=7,Liga do Brasil
/it/team/1854/albacete/,Albacete,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/819/fc-copenaghen/,FC Copenaghen,/it/teams/?league=1,Superliga
/it/team/112476/chapecoense/,Chapecoense,/it/teams/?league=7,Liga do Brasil
/it/team/267/sparta-praga/,Sparta Praga,/it/teams/?league=76,Resto del mondo
/it/team/693/chicago-fire/,Chicago Fire,/it/teams/?league=39,MLS
/it/team/1881/u-n-a-m/,U.N.A.M.,/it/teams/?league=341,LIGA Bancomer MX
/it/team/160/bochum/,Bochum,/it/teams/?league=20,Bundesliga 2
/it/team/111138/minnesota-united/,Minnesota United,/it/teams/?league=39,MLS
/it/team/1925/brentford/,Brentford,/it/teams/?league=14,EFL Championship
/it/team/110152/puebla/,Puebla,/it/teams/?league=341,LIGA Bancomer MX
/it/team/111139/impact-montr%C3%A9al/,Impact Montréal,/it/teams/?league=39,MLS
/it/team/1919/bristol-city/,Bristol City,/it/teams/?league=14,EFL Championship
/it/team/88/birmingham-city/,Birmingham City,/it/teams/?league=14,EFL Championship
/it/team/111140/portland-timbers/,Portland Timbers,/it/teams/?league=39,MLS
/it/team/110329/fc-st-pauli/,FC St. Pauli,/it/teams/?league=20,Bundesliga 2
/it/team/190/brescia/,Brescia,/it/teams/?league=32,Calcio B
/it/team/111730/kawasaki-front/,Kawasaki Front,/it/teams/?league=349,Meiji Yasuda J1
/it/team/10031/portimonense-sc/,Portimonense SC,/it/teams/?league=308,Liga NOS
/it/team/112828/new-york-city-fc/,New York City FC,/it/teams/?league=39,MLS
/it/team/113259/yeni-malatyaspor/,Yeni Malatyaspor,/it/teams/?league=68,Süper Lig
/it/team/1801/preston/,Preston,/it/teams/?league=14,EFL Championship
/it/team/320/malm%C3%B6-ff/,Malmö FF,/it/teams/?league=56,Allsvenskan
/it/team/111715/tigre/,Tigre,/it/teams/?league=353,SAF
/it/team/112670/talleres/,Talleres,/it/teams/?league=353,SAF
/it/team/15005/zulte-waregem/,Zulte-Waregem,/it/teams/?league=4,Pro League
/it/team/110831/cd-lugo/,CD Lugo,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/1793/reading/,Reading,/it/teams/?league=14,EFL Championship
/it/team/680/sint-truiden/,Sint-Truiden,/it/teams/?league=4,Pro League
/it/team/199/perugia/,Perugia,/it/teams/?league=32,Calcio B
/it/team/110150/quer%C3%A9taro/,Querétaro,/it/teams/?league=341,LIGA Bancomer MX
/it/team/111057/sport/,Sport,/it/teams/?league=7,Liga do Brasil
/it/team/298/rosenborg-bk/,Rosenborg BK,/it/teams/?league=41,Eliteserien
/it/team/1516/fc-midtjylland/,FC Midtjylland,/it/teams/?league=1,Superliga
/it/team/518/chaves/,Chaves,/it/teams/?league=308,Liga NOS
/it/team/101100/atl-nacional/,Atl. Nacional,/it/teams/?league=336,Liga Dimayor
/it/team/1952/hull-city/,Hull City,/it/teams/?league=14,EFL Championship
/it/team/101104/ind-santa-fe/,Ind. Santa Fe,/it/teams/?league=336,Liga Dimayor
/it/team/101083/estudiantes/,Estudiantes,/it/teams/?league=353,SAF
/it/team/15029/uni-de-chile/,Uni. de Chile,/it/teams/?league=335,Camp. Scotiabank
/it/team/112134/philadelphia/,Philadelphia,/it/teams/?league=39,MLS
/it/team/111651/toronto-fc/,Toronto FC,/it/teams/?league=39,MLS
/it/team/1438/santa-clara/,Santa Clara,/it/teams/?league=308,Liga NOS
/it/team/111708/atl%C3%A9tico-tucum%C3%A1n/,Atlético Tucumán,/it/teams/?league=353,SAF
/it/team/111340/akhisarspor/,Akhisarspor,/it/teams/?league=68,Süper Lig
/it/team/260/cd-tenerife/,CD Tenerife,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/111239/fc-ingolstadt/,FC Ingolstadt,/it/teams/?league=20,Bundesliga 2
/it/team/1039/atl-paranaense/,Atl. Paranaense,/it/teams/?league=7,Liga do Brasil
/it/team/110502/sv-darmstadt/,SV Darmstadt,/it/teams/?league=20,Bundesliga 2
/it/team/101007/mke-ankarag%C3%BCc%C3%BC/,MKE Ankaragücü,/it/teams/?league=68,Süper Lig
/it/team/100831/ad-alcorc%C3%B3n/,AD Alcorcón,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/244/real-saragozza/,Real Saragozza,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/1893/mar%C3%ADtimo/,Marítimo,/it/teams/?league=308,Liga NOS
/it/team/111048/paran%C3%A1/,Paraná,/it/teams/?league=7,Liga do Brasil
/it/team/101114/atlas/,Atlas,/it/teams/?league=341,LIGA Bancomer MX
/it/team/112540/shanghai-sipg/,Shanghai SIPG,/it/teams/?league=2012,CSL
/it/team/111768/beijing-guoan/,Beijing Guoan,/it/teams/?league=2012,CSL
/it/team/1871/legia-varsavia/,Legia Varsavia,/it/teams/?league=66,Ekstraklasa
/it/team/694/colorado-rapids/,Colorado Rapids,/it/teams/?league=39,MLS
/it/team/101103/indep-medell%C3%ADn/,Indep. Medellín,/it/teams/?league=336,Liga Dimayor
/it/team/101146/vissel-kobe/,Vissel Kobe,/it/teams/?league=349,Meiji Yasuda J1
/it/team/111674/al-shabab/,Al Shabab,/it/teams/?league=350,Saudi Professional League
/it/team/433/aik/,AIK,/it/teams/?league=56,Allsvenskan
/it/team/111019/argentinos-jrs/,Argentinos Jrs.,/it/teams/?league=353,SAF
/it/team/741/antalyaspor/,Antalyaspor,/it/teams/?league=68,Süper Lig
/it/team/698/houston-dynamo/,Houston Dynamo,/it/teams/?league=39,MLS
/it/team/112168/cosenza/,Cosenza,/it/teams/?league=32,Calcio B
/it/team/110373/salerno/,Salerno,/it/teams/?league=32,Calcio B
/it/team/111575/urawa-red-diam/,Urawa Red Diam.,/it/teams/?league=349,Meiji Yasuda J1
/it/team/111065/real-salt-lake/,Real Salt Lake,/it/teams/?league=39,MLS
/it/team/477/cd-numancia/,CD Numancia,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/159/arminia-bielefeld/,Arminia Bielefeld,/it/teams/?league=20,Bundesliga 2
/it/team/378/stade-brestois/,Stade Brestois,/it/teams/?league=17,Domino's Ligue 2
/it/team/101112/whitecaps-fc/,Whitecaps FC,/it/teams/?league=39,MLS
/it/team/650/ado-den-haag/,ADO Den Haag,/it/teams/?league=10,Eredivisie
/it/team/1477/jeonbuk-hyundai/,Jeonbuk Hyundai,/it/teams/?league=83,K-League 1
/it/team/417/molde-fk/,Molde FK,/it/teams/?league=41,Eliteserien
/it/team/111706/godoy-cruz/,Godoy Cruz,/it/teams/?league=353,SAF
/it/team/110929/kaizer-chiefs/,Kaizer Chiefs,/it/teams/?league=76,Resto del mondo
/it/team/665/v-set%C3%BAbal/,V. Setúbal,/it/teams/?league=308,Liga NOS
/it/team/111235/1-fc-heidenheim/,1. FC Heidenheim,/it/teams/?league=20,Bundesliga 2
/it/team/691/new-england/,New England,/it/teams/?league=39,MLS
/it/team/1913/sc-heerenveen/,sc Heerenveen,/it/teams/?league=10,Eredivisie
/it/team/1891/funchal/,Funchal,/it/teams/?league=308,Liga NOS
/it/team/666/desportivo-aves/,Desportivo Aves,/it/teams/?league=308,Liga NOS
/it/team/111928/sj-earthquakes/,SJ Earthquakes,/it/teams/?league=39,MLS
/it/team/101084/gimnasia/,Gimnasia,/it/teams/?league=353,SAF
/it/team/10030/paderborn/,Paderborn,/it/teams/?league=20,Bundesliga 2
/it/team/1917/wigan-athletic/,Wigan Athletic,/it/teams/?league=14,EFL Championship
/it/team/1028/monarcas-morelia/,Monarcas Morelia,/it/teams/?league=341,LIGA Bancomer MX
/it/team/97/millwall/,Millwall,/it/teams/?league=14,EFL Championship
/it/team/15/qpr/,QPR,/it/teams/?league=14,EFL Championship
/it/team/111722/deportes-tolima/,Deportes Tolima,/it/teams/?league=336,Liga Dimayor
/it/team/110734/crotone/,Crotone,/it/teams/?league=32,Calcio B
/it/team/101105/millonarios/,Millonarios,/it/teams/?league=336,Liga Dimayor
/it/team/1915/fc-groningen/,FC Groningen,/it/teams/?league=10,Eredivisie
/it/team/100081/kv-kortrijk/,KV Kortrijk,/it/teams/?league=4,Pro League
/it/team/112516/cd-tondela/,CD Tondela,/it/teams/?league=308,Liga NOS
/it/team/111707/aldosivi/,Aldosivi,/it/teams/?league=353,SAF
/it/team/111716/uni%C3%B3n/,Unión,/it/teams/?league=353,SAF
/it/team/695/fc-dallas/,FC Dallas,/it/teams/?league=39,MLS
/it/team/254/sk-rapid-vienna/,SK Rapid Vienna,/it/teams/?league=80,Ö. Bundesliga
/it/team/1825/duisburg/,Duisburg,/it/teams/?league=20,Bundesliga 2
/it/team/111434/cremona/,Cremona,/it/teams/?league=32,Calcio B
/it/team/101102/deportivo-cali/,Deportivo Cali,/it/teams/?league=336,Liga Dimayor
/it/team/576/kiel/,Kiel,/it/teams/?league=20,Bundesliga 2
/it/team/200/pescara/,Pescara,/it/teams/?league=32,Calcio B
/it/team/110178/sandhausen/,Sandhausen,/it/teams/?league=20,Bundesliga 2
/it/team/682/kv-oostende/,KV Oostende,/it/teams/?league=4,Pro League
/it/team/110396/newells/,Newell's,/it/teams/?league=353,SAF
/it/team/110404/banfield/,Banfield,/it/teams/?league=353,SAF
/it/team/111724/shandong-luneng/,Shandong Luneng,/it/teams/?league=2012,CSL
/it/team/113160/sagan-tosu/,Sagan Tosu,/it/teams/?league=349,Meiji Yasuda J1
/it/team/112378/dalian-yifang/,Dalian Yifang,/it/teams/?league=2012,CSL
/it/team/1907/willem-ii/,Willem II,/it/teams/?league=10,Eredivisie
/it/team/110145/veracruz/,Veracruz,/it/teams/?league=341,LIGA Bancomer MX
/it/team/983/suwon-bluewings/,Suwon Bluewings,/it/teams/?league=83,K-League 1
/it/team/112093/gamba-osaka/,Gamba Osaka,/it/teams/?league=349,Meiji Yasuda J1
/it/team/453/rcd-mallorca/,RCD Mallorca,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/1861/ud-almer%C3%ADa/,UD Almería,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/100634/heracles-almelo/,Heracles Almelo,/it/teams/?league=10,Eredivisie
/it/team/749/erzurumspor/,Erzurumspor,/it/teams/?league=68,Süper Lig
/it/team/1914/pec-zwolle/,PEC Zwolle,/it/teams/?league=10,Eredivisie
/it/team/1847/ascoli/,Ascoli,/it/teams/?league=32,Calcio B
/it/team/106/sunderland/,Sunderland,/it/teams/?league=60,EFL League One
/it/team/347/lecce/,Lecce,/it/teams/?league=32,Calcio B
/it/team/111560/excel-mouscron/,Excel Mouscron,/it/teams/?league=4,Pro League
/it/team/101147/kashima-antlers/,Kashima Antlers,/it/teams/?league=349,Meiji Yasuda J1
/it/team/112606/orlando-city/,Orlando City,/it/teams/?league=39,MLS
/it/team/1473/ulsan-hyundai/,Ulsan Hyundai,/it/teams/?league=83,K-League 1
/it/team/873/lech-pozna%C5%84/,Lech Poznań,/it/teams/?league=66,Ekstraklasa
/it/team/3/blackburn-rovers/,Blackburn Rovers,/it/teams/?league=14,EFL Championship
/it/team/469/extremadura/,Extremadura,/it/teams/?league=54,LaLiga 1 I 2 I 3
/it/team/252/lask-linz/,LASK Linz,/it/teams/?league=80,Ö. Bundesliga
/it/team/217/fc-lorient/,FC Lorient,/it/teams/?league=17,Domino's Ligue 2
/it/team/111091/lechia-danzica/,Lechia Danzica,/it/teams/?league=66,Ekstraklasa
/it/team/1750/cercle-brugge/,Cercle Brugge,/it/teams/?league=4,Pro League
